Country	Product Name	FNSKU	Merchant SKU	ASIN	Condition	Supplier	Supplier part no.	Currency code	Price	Sales last 30 days	Units Sold Last 30 Days	Total Units	Inbound	Available	FC transfer	FC Processing	Customer Order	Unfulfillable	Working	Shipped	Receiving	Fulfilled by	Total Days of Supply (including units from open shipments)	Days of Supply at Amazon Fulfillment Network	Alert	Recommended replenishment qty	Recommended ship date	Recommended action	Unit storage size
US	Nevlers 2 Pack All Natural Pure Himalayan Salt Licks for Animals - Great for Horses, Cows, Deer, and Other Livestock - Ropes Included - 4.5-6 lbs Each	B08GL1P32R	ND2PSLTLICK47	B08GL1P32R	New	unassigned		USD	34.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	3	02/12/2026	Create shipping plan	0.1952 ft3
US	Nevlers 2 Pack All Natural Pure Himalayan Salt Licks for Animals - Great for Horses, Cows, Deer, and Other Livestock - Ropes Included - 4.5-6 lbs Each	X00375T697	ND2PSLTLCK47-1	B08GL1P32R	New	unassigned		USD	34.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	3	02/12/2026	Create shipping plan	0.451 ft3
US	Nevlers 2 Pack All Natural Pure Himalayan Salt Licks for Animals - Great for Horses, Cows, Deer, and Other Livestock - Ropes Included - 4.5-6 lbs Each	X00375XM15	ND2PSLTLCK47	B08GL1P32R	New	unassigned		USD	29.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	3	02/12/2026	Create shipping plan	0.451 ft3
US	Nevlers 2 Pack All Natural Handcrafted Himalayan Salt Night Lights - 2 Bulbs Included - UL Certified 360° Wall Plug - Great & Decorative Enhancement to Any Room	B084284K4P	ND2PNIGHTLT34-1	B084284K4P	New	unassigned		USD	44.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	0	none	No action required	0.1927 ft3
US	Nevlers 2 Pack Pure Himalayan Salt Candle Holders | Heart Shaped Himalayan Salt Tea Candle Holder | Hand Crafted Himalayan Tealight Holders | Salt Candle Holder for Decor | Salt Lamp Tealight Holders	B085ZCWVKR	ND2PHRT-TEA40	B085ZCWVKR	New	unassigned		USD	19.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.0813 ft3
US	Nevlers 2 Pk Flower Shape Pink Himalayan Salt Lamp with Wood Base| 7-8 lbs & 7"- 8" Tall Salt Rock Lamp with Dimmer Cords & Light Bulbs|100% Authentic Himalayan Pink Salt Lamp |Hand Crafted Salt Lamps	X0037P7FM7	ND2PFLWR33-1	B08428LWCY	New	unassigned		USD	69.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.401 ft3
US	Nevlers 2 Pk Flower Shape Pink Himalayan Salt Lamp with Wood Base| 7-8 lbs & 7"- 8" Tall Salt Rock Lamp with Dimmer Cords & Light Bulbs|100% Authentic Himalayan Pink Salt Lamp |Hand Crafted Salt Lamps	B08428LWCY	ND2PFLOWR33	B08428LWCY	New	unassigned		USD	69.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.3883 ft3
US	Mockins 500LB Capacity 60x20x6 Trailer Hitch Cargo Carrier Hitch Rack Folding Cargo Carrier Hitch Mount - Ratchet Straps & Net - Hitch Mount Cargo Carrier Cargo Trailer Tow Hitch Cargo Carrier	B0853FKQM6	NACCNS27	B0853FKQM6	New	unassigned		USD	209.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	3.7674 ft3
US	Mockins Bling Karaoke Microphone Wireless & Portable in Crimson | Kids Microphones for Singing w/Speaker, Voice Changer & LED Lights | Karaoke Mic for Parties & Holidays| Singing Machine Microphone	B0DCKRJL7K	N-BLNGMIC-RD-31	B0DCKRJL7K	New	unassigned		USD	39.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	0	none	No action required	0.1205 ft3
US	Mockins Blue Bling Karaoke Mic | Kids Karaoke Microphone Wireless w/Speaker, Voice Changer, LED Lights & Recording Cables | Cordless Microphone for Singer | Portable	B0DCL47PT5	N-BLNGMIC-BLU-32	B0DCL47PT5	New	unassigned		USD	39.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	0	none	No action required	0.0694 ft3
